index;address;type;start;end;latitude;longitude
157;Химки г, Кирова ул, 19 А;жилое;8/2/2021;8/16/2021;55.888932;37.452309
158;Химки г, Кирова ул, 20;жилое;8/2/2021;8/16/2021;55.888336;37.451528
159;Химки г, Кирова ул, 21;жилое;8/2/2021;8/16/2021;55.88772;37.45354
160;Химки г, Кирова ул, 23;жилое;8/2/2021;8/16/2021;55.887448;37.452426
161;Химки г, Кирова ул, 25;жилое;8/2/2021;8/16/2021;55.88717;37.453297
162;Химки г, Кирова ул, 26;жилое;8/2/2021;8/16/2021;55.88509;37.452067
163;Химки г, Кирова ул, 28;жилое;8/2/2021;8/16/2021;55.88462;37.452426
164;Химки г, Кирова ул, 30;жилое;8/2/2021;8/16/2021;55.884166;37.452723
165;Химки г, Кирова ул, 32;жилое;8/2/2021;8/16/2021;55.8836;37.453279
166;Химки г, Кирова ул, 4;жилое;8/2/2021;8/16/2021;55.893006;37.452399
167;Химки г, Кирова ул, 5;жилое;8/2/2021;8/16/2021;55.891668;37.452624
168;Химки г, Кирова ул, 6;жилое;8/2/2021;8/16/2021;55.892314;37.452408
169;Химки г, Кирова ул, 6 А;жилое;8/2/2021;8/16/2021;55.892814;37.451294
170;Химки г, Кирова ул, 7;жилое;8/2/2021;8/16/2021;55.891259;37.45319
171;Химки г, Кирова ул, 8;жилое;8/2/2021;8/16/2021;55.892365;37.451088
172;Химки г, Кирова ул, 9;жилое;8/2/2021;8/16/2021;55.891007;37.452193
173;Химки г, Клязьма кв-л, Летчика Ивана Федорова ул, 1;жилое;6/21/2021;7/1/2021;55.958462;37.441233
174;Химки г, Клязьма кв-л, Летчика Ивана Федорова ул, 2 1;жилое;6/15/2021;6/24/2021;55.958154;37.440982
175;Химки г, Клязьма кв-л, Летчика Ивана Федорова ул, 2 2;жилое;6/21/2021;7/1/2021;55.957817;37.441395
176;Химки г, Клязьма кв-л, Летчика Ивана Федорова ул, 2 3;жилое;6/15/2021;6/25/2021;55.958038;37.440344
177;Химки г, Клязьма кв-л, Летчика Ивана Федорова ул, 3 2;жилое;7/1/2021;7/8/2021;55.959172;37.442347
178;Химки г, Клязьма кв-л, Летчика Ивана Федорова ул, 4;жилое;6/7/2021;6/17/2021;55.957953;37.442203
179;Химки г, Клязьма кв-л, Летчика Ивана Федорова ул, 5;жилое;8/2/2021;8/12/2021;55.958306;37.443928
180;Химки г, Клязьма кв-л, Летчика Ивана Федорова ул, 6;жилое;6/1/2021;6/11/2021;55.957726;37.443003
181;Химки г, Клязьма кв-л, Летчика Ивана Федорова ул, 7;жилое;8/2/2021;8/12/2021;55.957766;37.444952
182;Химки г, Клязьма кв-л, Летчика Ивана Федорова ул, 8 1;жилое;8/16/2021;8/26/2021;55.957207;37.444799
183;Химки г, Клязьма кв-л, Летчика Ивана Федорова ул, 8 2;жилое;8/9/2021;8/19/2021;55.957545;37.443461
184;Химки г, Клязьма кв-л, Летчика Ивана Федорова ул, 8 3;жилое;8/9/2021;8/19/2021;55.957081;37.443847
185;Химки г, Клязьма кв-л, Набережный проезд, 1;жилое;7/12/2021;7/22/2021;55.960256;37.443164
186;Химки г, Клязьма кв-л, Набережный проезд, 1 2;жилое;8/5/2021;8/12/2021;55.959545;37.442293
187;Химки г, Клязьма кв-л, Набережный проезд, 10;жилое;6/7/2021;6/17/2021;55.957404;37.441709
188;Химки г, Клязьма кв-л, Набережный проезд, 11;жилое;7/5/2021;7/15/2021;55.956884;37.44055
189;Химки г, Клязьма кв-л, Набережный проезд, 12;жилое;6/1/2021;6/11/2021;55.957177;37.442509
190;Химки г, Клязьма кв-л, Набережный проезд, 13;жилое;7/5/2021;7/15/2021;55.956683;37.441143
191;Химки г, Клязьма кв-л, Набережный проезд, 14;жилое;7/5/2021;7/15/2021;55.95637;37.442832
192;Химки г, Клязьма кв-л, Набережный проезд, 15;жилое;7/5/2021;7/15/2021;55.956456;37.441745
193;Химки г, Клязьма кв-л, Набережный проезд, 16;жилое;7/5/2021;7/15/2021;55.956255;37.443623
194;Химки г, Клязьма кв-л, Набережный проезд, 17;жилое;7/5/2021;7/15/2021;55.956199;37.442293
195;Химки г, Клязьма кв-л, Набережный проезд, 18;жилое;7/5/2021;7/15/2021;55.956864;37.443191
196;Химки г, Клязьма кв-л, Набережный проезд, 19;жилое;7/5/2021;7/15/2021;55.955982;37.443209
